,Property,BuildingAccessibilityFeatures,CommonArea,,BuildingAccessibilityFeatures,CommonArea,"The Common Area is the portion of the building near accessible entrance, used for entertaining guests.",Yes,Yes,
,Property,BuildingAccessibilityFeatures,CustomizedWheelchairAccessible,,BuildingAccessibilityFeatures,CustomizedWheelchairAccessible,Customized accessibility for specific size or style of wheelchair or scooter.,Yes,Yes,
,Property,BuildingAccessibilityFeatures,ElectronicEnvironmentalControls,,BuildingAccessibilityFeatures,ElectronicEnvironmentalControls,"Programmable electronic controls for thermostat, lights, security system and automatic doors.",Yes,Yes,
,Property,BuildingAccessibilityFeatures,EnhancedAccessible,,BuildingAccessibilityFeatures,EnhancedAccessible,"The Central Living Area is fully accessible for lifelong living by all residents, no matter their ability. A person in a wheel chair or with other disability is able to perform all personal and housekeeping tasks. Persons without disabilities are also able to perform basic tasks with greater ease. To be considered ""Enhanced Accessible"" the building also includes all ""Visitable"" features.",Yes,Yes,
,Property,BuildingAccessibilityFeatures,ExteriorWheelchairLift,,BuildingAccessibilityFeatures,ExteriorWheelchairLift,Mechanical wheelchair lift is installed outside the building to facilitate barrier-free approach.,Yes,Yes,
,Property,BuildingAccessibilityFeatures,GripAccessibleFeatures,,BuildingAccessibilityFeatures,GripAccessibleFeatures,"All doors, faucets and other mechanisms throughout common area are lever, hands-free or other style that can be controlled with a closed, clenched fist or weak hands. This is required to be considered Enhanced Accessible. Optional: Wire pull (D-ring) handles or equivalent or easy touch latches on cabinets and drawers.",Yes,Yes,
,Property,BuildingAccessibilityFeatures,ReinforcedFloors,,BuildingAccessibilityFeatures,ReinforcedFloors,"Reinforced floors for bariatric needs, power wheelchairs, therapeutic tub or heavy medical equipment.",Yes,Yes,
,Property,BuildingAccessibilityFeatures,SafeEmergencyEgressfromHome,,BuildingAccessibilityFeatures,SafeEmergencyEgressfromHome,"Minimum two, no-step, accessible egresses from Central Living Area. Window locks are 19 to 54 inches from the floor and can be opened with a closed fist. Emergency egress windows in sleeping areas require minimal effort to open. This is required to be considered Enhanced Accessible.",Yes,Yes,
,Property,BuildingAccessibilityFeatures,SmartTechnology,,BuildingAccessibilityFeatures,SmartTechnology,"Smart Home (computer-controlled) and/or smart products— for example, voice activated controls, voice reminder, remote monitoring of individuals with dementia.",Yes,Yes,
,Property,BuildingAccessibilityFeatures,StairLift,,BuildingAccessibilityFeatures,StairLift,Stair lift with motorized rail to climb interior or exterior stairway installed professionally.,Yes,Yes,
,Property,BuildingAccessibilityFeatures,StandbyGenerator,,BuildingAccessibilityFeatures,StandbyGenerator,"Backup generator for refrigeration of medications, life-sustaining medical equipment or essential room temperature control.",Yes,Yes,
,Property,BuildingAccessibilityFeatures,TherapeuticWhirlpool,,BuildingAccessibilityFeatures,TherapeuticWhirlpool,"Therapeutic whirlpool, properly installed.",Yes,Yes,
,Property,BuildingAccessibilityFeatures,Visitable,,BuildingAccessibilityFeatures,Visitable,"The building is “visitable” for all guests: a person in a wheel chair can easily enter the home and access the main Common Area, a half-bathroom at minimum, and the hall leading to that bathroom.",Yes,Yes,
,Property,BuildingAccessibilityFeatures,VisitorBathroom,,BuildingAccessibilityFeatures,VisitorBathroom,"Bathroom that is closest to Common Area. Minimum half bath. Door has minimum 32-inch clear width opening; lever handles. Minimum 60-inch turnaround or other approved turnaround configuration (30"" x 48"" clear space if door opens out.). Grab bar installed in toilet area with proper blocking. This is required to be considered Visitable.",Yes,Yes,
,Property,BuildingAccessibilityFeatures,WalkerAccessibleStairs,,BuildingAccessibilityFeatures,WalkerAccessibleStairs,"Treads are minimum 25 inches deep, with maximum 4 inches rise, minimum 36 inches wide. May be a custom feature in addition to approach with ramp.",Yes,Yes,
,Property,BuildingCondition,Excellent,,BuildingCondition,Excellent,,Yes,Yes,
,Property,BuildingCondition,Fair,,BuildingCondition,Fair,,Yes,Yes,
,Property,BuildingCondition,Fixer,,BuildingCondition,Fixer,"The property is a ""fixer"" or property in need of moderate or extensive repair.",Yes,Yes,
,Property,BuildingCondition,Good,,BuildingCondition,Good,,Yes,Yes,
,Property,BuildingCondition,New,,BuildingCondition,New,,Yes,Yes,
,Property,BuildingCondition,NewConstruction,,BuildingCondition,NewConstruction,The property is newly built.,Yes,Yes,
,Property,BuildingCondition,Poor,,BuildingCondition,Poor,,Yes,Yes,
,Property,BuildingCondition,UnderConstruction,,BuildingCondition,UnderConstruction,The property is still under construction and building has not been completed.,Yes,Yes,
,Property,BuildingCondition,UpdatedRemodeled,,BuildingCondition,UpdatedRemodeled,The property has been remolded or updated is some fashion.,Yes,Yes,
,Property,BuildingCondition,Wrecked,,BuildingCondition,Wrecked,,Yes,Yes,
,Property,BuildingCooling,AtticFan,,BuildingCooling,AtticFan,The property has an attic fan.,Yes,Yes,
,Property,BuildingCooling,BuildingCooling,,BuildingCooling,BuildingCooling,The building has a cooling system.,Yes,Yes,
,Property,BuildingCooling,CeilingFans,,BuildingCooling,CeilingFans,The property has one or more ceiling fans.,Yes,Yes,
,Property,BuildingCooling,CentralAir,,BuildingCooling,CentralAir,The property has central air conditioning.,Yes,Yes,
,Property,BuildingCooling,Dual,,BuildingCooling,Dual,The cooling system has two units.,Yes,Yes,
,Property,BuildingCooling,Ductless,,BuildingCooling,Ductless,"The cooling system does not have ducted or a wall/window-type unit. A mini-split is a common type of ductless system where an outdoor condenser is connected to an indoor fan unit that feeds the room in which it's located, rather than being ducted throughout the structure.",Yes,Yes,
,Property,BuildingCooling,Electric,,BuildingCooling,Electric,The cooling system is powered by electricity.,Yes,Yes,
,Property,BuildingCooling,EnergyStarQualifiedEquipment,,BuildingCooling,EnergyStarQualifiedEquipment,The cooling system is qualified as ENERGY STAR.,Yes,Yes,
,Property,BuildingCooling,EvaporativeCooling,,BuildingCooling,EvaporativeCooling,The cooling system works by way of water evaporation rather than a compressor and coolant. Evaporative cooling systems are often referred to as swamp coolers.,Yes,Yes,
,Property,BuildingCooling,ExhaustFan,,BuildingCooling,ExhaustFan,The structure has an exhaust fan.,Yes,Yes,
,Property,BuildingCooling,Gas,,BuildingCooling,Gas,The cooling system is powered by gas.,Yes,Yes,
,Property,BuildingCooling,Geothermal,,BuildingCooling,Geothermal,The cooling system runs on a geothermal source.,Yes,Yes,
,Property,BuildingCooling,HeatPump,,BuildingCooling,HeatPump,"A system that exchanges heat between a warm and cool space. The heat exchange is done between the dwelling and another air space, like outdoors; or a water source; or below ground (geothermal).",Yes,Yes,
,Property,BuildingCooling,HumidityControl,,BuildingCooling,HumidityControl,The cooling system includes humidity control.,Yes,Yes,
,Property,BuildingCooling,MultiUnits,,BuildingCooling,MultiUnits,The cooling system includes more than one unit.,Yes,Yes,
,Property,BuildingCooling,None,,BuildingCooling,None,The property includes no cooling system.,Yes,Yes,
,Property,BuildingCooling,Other,,BuildingCooling,Other,The cooling system is different or has features that are not included on this list.,Yes,Yes,
,Property,BuildingCooling,RoofTurbines,,BuildingCooling,RoofTurbines,The cooling system utilizes a roof turbine.,Yes,Yes,
,Property,BuildingCooling,SeparateMeters,,BuildingCooling,SeparateMeters,The cooling system has separate meters for its multiple units/zones.,Yes,Yes,
,Property,BuildingCooling,VariesByUnit,,BuildingCooling,VariesByUnit,The cooling equipment varies by unit.,Yes,Yes,
,Property,BuildingCooling,WallUnits,,BuildingCooling,WallUnits,The cooling system is mounted in an opening in the wall or in a window.,Yes,Yes,
,Property,BuildingCooling,WallWindowUnits,,BuildingCooling,WallWindowUnits,The cooling system is stand alone and mounted in an opening in an outer wall.,Yes,Yes,
,Property,BuildingCooling,WholeHouseFan,,BuildingCooling,WholeHouseFan,The property has a whole house fan.,Yes,Yes,
,Property,BuildingCooling,WindowUnits,,BuildingCooling,WindowUnits,The cooling system is window mounted.,Yes,Yes,
,Property,BuildingCooling,Zoned,,BuildingCooling,Zoned,The cooling system has more than one zone.,Yes,Yes,
,Property,BuildingExteriorFeatures,Awnings,,BuildingExteriorFeatures,Awnings,The building has one or more awnings on it's exterior.,Yes,Yes,
,Property,BuildingExteriorFeatures,Balcony,,BuildingExteriorFeatures,Balcony,The building has an exterior balcony.,Yes,Yes,
,Property,BuildingExteriorFeatures,Barbecue,,BuildingExteriorFeatures,Barbecue,The building has an outdoors barbeque.,Yes,Yes,
,Property,BuildingExteriorFeatures,BasketballCourt,,BuildingExteriorFeatures,BasketballCourt,The building has an basketball court.,Yes,Yes,
,Property,BuildingExteriorFeatures,BoatSlip,,BuildingExteriorFeatures,BoatSlip,The building has a boat slip.,Yes,Yes,
,Property,BuildingExteriorFeatures,BuildingCourtyard,,BuildingExteriorFeatures,BuildingCourtyard,The building has a courtyard.,Yes,Yes,
,Property,BuildingExteriorFeatures,BuildingGarden,,BuildingExteriorFeatures,BuildingGarden,The building has a garden.,Yes,Yes,
,Property,BuildingExteriorFeatures,BuildingRoofDeck,,BuildingExteriorFeatures,BuildingRoofDeck,The building has roof deck for access.,Yes,Yes,
,Property,BuildingExteriorFeatures,BuiltInBarbecue,,BuildingExteriorFeatures,BuiltInBarbecue,The building has a built-in outdoor barbeque.,Yes,Yes,
,Property,BuildingExteriorFeatures,Courtyard,,BuildingExteriorFeatures,Courtyard,The building has a courtyard.,Yes,Yes,
,Property,BuildingExteriorFeatures,CoveredCourtyard,,BuildingExteriorFeatures,CoveredCourtyard,The building has a covered courtyard.,Yes,Yes,
,Property,BuildingExteriorFeatures,Dock,,BuildingExteriorFeatures,Dock,The building has a dock.,Yes,Yes,
,Property,BuildingExteriorFeatures,DogRun,,BuildingExteriorFeatures,DogRun,The building has a dog run.,Yes,Yes,
,Property,BuildingExteriorFeatures,ElectricGrill,,BuildingExteriorFeatures,ElectricGrill,The building has an outdoor electric grill.,Yes,Yes,
,Property,BuildingExteriorFeatures,FirePit,,BuildingExteriorFeatures,FirePit,The building has an outdoor fire pit.,Yes,Yes,
,Property,BuildingExteriorFeatures,Garden,,BuildingExteriorFeatures,Garden,The building has a garden.,Yes,Yes,
,Property,BuildingExteriorFeatures,GasGrill,,BuildingExteriorFeatures,GasGrill,The building has an outdoor gas grill.,Yes,Yes,
,Property,BuildingExteriorFeatures,GrayWaterSystem,,BuildingExteriorFeatures,GrayWaterSystem,The building has a grey water system.,Yes,Yes,
,Property,BuildingExteriorFeatures,Kennel,,BuildingExteriorFeatures,Kennel,The building has a kennel.,Yes,Yes,
,Property,BuildingExteriorFeatures,Lighting,,BuildingExteriorFeatures,Lighting,The building has exterior lighting.,Yes,Yes,
,Property,BuildingExteriorFeatures,MistingSystem,,BuildingExteriorFeatures,MistingSystem,The building has a misting system.,Yes,Yes,
,Property,BuildingExteriorFeatures,None,,BuildingExteriorFeatures,None,The building has no exterior features.,Yes,Yes,
,Property,BuildingExteriorFeatures,Other,,BuildingExteriorFeatures,Other,The building has exterior features other than those in this list.,Yes,Yes,
,Property,BuildingExteriorFeatures,OutdoorGrill,,BuildingExteriorFeatures,OutdoorGrill,The building has an outdoor grill.,Yes,Yes,
,Property,BuildingExteriorFeatures,OutdoorKitchen,,BuildingExteriorFeatures,OutdoorKitchen,The building has an outdoor kitchen.,Yes,Yes,
,Property,BuildingExteriorFeatures,OutdoorShower,,BuildingExteriorFeatures,OutdoorShower,The building has an outdoor shower.,Yes,Yes,
,Property,BuildingExteriorFeatures,PermeablePaving,,BuildingExteriorFeatures,PermeablePaving,The building has preamble paving that allows fluids to run through the paving to the below ground or channeling.,Yes,Yes,
,Property,BuildingExteriorFeatures,Playground,,BuildingExteriorFeatures,Playground,The building has a playground.,Yes,Yes,
,Property,BuildingExteriorFeatures,RainBarrelCisterns,,BuildingExteriorFeatures,RainBarrelCisterns,The building has a cistern for water collection.,Yes,Yes,
,Property,BuildingExteriorFeatures,RainGutters,,BuildingExteriorFeatures,RainGutters,The building has rain gutters.,Yes,Yes,
,Property,BuildingExteriorFeatures,RvHookup,,BuildingExteriorFeatures,RvHookup,The building has an RV hookup.,Yes,Yes,
,Property,BuildingExteriorFeatures,Storage,,BuildingExteriorFeatures,Storage,The building has external storage.,Yes,Yes,
,Property,BuildingExteriorFeatures,TennisCourts,,BuildingExteriorFeatures,TennisCourts,The building has one or more tennis courts.,Yes,Yes,
,Property,BuildingExteriorFeatures,UncoveredCourtyard,,BuildingExteriorFeatures,UncoveredCourtyard,The building has an uncovered courtyard.,Yes,Yes,
,Property,BuildingFeatures,BasketballCourt,,BuildingFeatures,BasketballCourt,"The property includes use of, or access to, an indoor basketball court.",Yes,Yes,
,Property,BuildingFeatures,BikeStorage,,BuildingFeatures,BikeStorage,The property includes access to bike storage.,Yes,Yes,
,Property,BuildingFeatures,BilliardRoom,,BuildingFeatures,BilliardRoom,"The property includes use of, or access to, a billiard room.",Yes,Yes,
,Property,BuildingFeatures,BowlingAlley,,BuildingFeatures,BowlingAlley,"The property includes use of, or access to, bowling alley.",Yes,Yes,
,Property,BuildingFeatures,CarWashArea,,BuildingFeatures,CarWashArea,"The property includes use of, or access to, an are to wash your car.",Yes,Yes,
,Property,BuildingFeatures,CateringKitchen,,BuildingFeatures,CateringKitchen,The property includes access to a catering kitchen.,Yes,Yes,
,Property,BuildingFeatures,CleaningService,,BuildingFeatures,CleaningService,"The property includes use of, or access to, a cleaning service.",Yes,Yes,
,Property,BuildingFeatures,Clubhouse,,BuildingFeatures,Clubhouse,"The property includes use of, or access to, a clubhouse.",Yes,Yes,
,Property,BuildingFeatures,ColdPlungePool,,BuildingFeatures,ColdPlungePool,The property includes access to a cold plunge pool.,Yes,Yes,
,Property,BuildingFeatures,ColdStorage,,BuildingFeatures,ColdStorage,The property includes access to cold storage.,Yes,Yes,
,Property,BuildingFeatures,CommonDiningRoom,,BuildingFeatures,CommonDiningRoom,The property includes access to a common dining room.,Yes,Yes,
,Property,BuildingFeatures,CommonLibrary,,BuildingFeatures,CommonLibrary,The property includes access to a common library.,Yes,Yes,
,Property,BuildingFeatures,CommonLounge,,BuildingFeatures,CommonLounge,The property includes access to a common lounge.,Yes,Yes,
,Property,BuildingFeatures,CommonPlayroom,,BuildingFeatures,CommonPlayroom,The property includes access to a children's playroom.,Yes,Yes,
,Property,BuildingFeatures,Concierge,,BuildingFeatures,Concierge,"The property includes use of, or access to, a concierge service. This differs from Concierge Staff, please refer to BuildingStaff attribute.",Yes,Yes,
,Property,BuildingFeatures,Coworkspace,,BuildingFeatures,Coworkspace,"The property includes use of, or access to, coworking space.",Yes,Yes,
,Property,BuildingFeatures,DayCare,,BuildingFeatures,DayCare,"The property includes use of, or access to, a day care service.",Yes,Yes,
,Property,BuildingFeatures,DogCare,,BuildingFeatures,DogCare,The property includes dog care.,Yes,Yes,
,Property,BuildingFeatures,DogPark,,BuildingFeatures,DogPark,"The property includes use of, or access to, a dog park.",Yes,Yes,
,Property,BuildingFeatures,DogRun,,BuildingFeatures,DogRun,The property has a dog run.,Yes,Yes,
,Property,BuildingFeatures,ElectricCarChargingStation,,BuildingFeatures,ElectricCarChargingStation,"The property includes use of, or access to, electric car charge station.",Yes,Yes,
,Property,BuildingFeatures,Elevators,,BuildingFeatures,Elevators,"The property includes use of, or access to, an elevator(s).",Yes,Yes,
,Property,BuildingFeatures,EventSuite,,BuildingFeatures,EventSuite,"The property includes use of, or access to, an event suite.",Yes,Yes,
,Property,BuildingFeatures,ExerciseCourse,,BuildingFeatures,ExerciseCourse,"The property includes use of, or access to, an exercise course.",Yes,Yes,
,Property,BuildingFeatures,FitnessCenter,,BuildingFeatures,FitnessCenter,"The property includes use of, or access to, a fitness center.",Yes,Yes,
,Property,BuildingFeatures,GameCourtInterior,,BuildingFeatures,GameCourtInterior,"The property includes use of, or access to, an indoors game court.",Yes,Yes,
,Property,BuildingFeatures,GameRoom,,BuildingFeatures,GameRoom,"The property includes use of, or access to, a game room.",Yes,Yes,
,Property,BuildingFeatures,GolfSimulatorRoom,,BuildingFeatures,GolfSimulatorRoom,"The property includes use of, or access to, golf simulator room.",Yes,Yes,
,Property,BuildingFeatures,GuestSuites,,BuildingFeatures,GuestSuites,The property includes access to guest suites.,Yes,Yes,
,Property,BuildingFeatures,HealthClub,,BuildingFeatures,HealthClub,"The property includes use of, or access to, a health club. Health Club typically includes fitness center as well as other experiences such as recreational areas with restaurants, juice bars, music and more.",Yes,Yes,
,Property,BuildingFeatures,IndoorPool,,BuildingFeatures,IndoorPool,"The property includes use of, or access to, an indoor pool.",Yes,Yes,
,Property,BuildingFeatures,LibraryRoom,,BuildingFeatures,LibraryRoom,"The property includes use of, or access to, library room.",Yes,Yes,
,Property,BuildingFeatures,MaidService,,BuildingFeatures,MaidService,"The property includes use of, or access to, a maid service.",Yes,Yes,
,Property,BuildingFeatures,Maintenance,,BuildingFeatures,Maintenance,The property includes maintenance.,Yes,Yes,
,Property,BuildingFeatures,Management,,BuildingFeatures,Management,The property includes management services.,Yes,Yes,
,Property,BuildingFeatures,MeetingRoom,,BuildingFeatures,MeetingRoom,"The property includes use of, or access to, a meeting room.",Yes,Yes,
,Property,BuildingFeatures,None,,BuildingFeatures,None,The property has no amenities or features.,Yes,Yes,
,Property,BuildingFeatures,Other,,BuildingFeatures,Other,The property has features and amenities not included in this list.,Yes,Yes,
,Property,BuildingFeatures,PackageDeliveryLocker,,BuildingFeatures,PackageDeliveryLocker,The property provides/has available package delivery locker.,Yes,Yes,
,Property,BuildingFeatures,PackageRoom,,BuildingFeatures,PackageRoom,The property includes access to a package room.,Yes,Yes,
,Property,BuildingFeatures,PartyRoom,,BuildingFeatures,PartyRoom,"The property includes use of, or access to, a party room.",Yes,Yes,
,Property,BuildingFeatures,PilatesStudio,,BuildingFeatures,PilatesStudio,The property includes access to a Pilates studio.,Yes,Yes,
,Property,BuildingFeatures,Racquetball,,BuildingFeatures,Racquetball,"The property includes use of, or access to, a racquetball court(s).",Yes,Yes,
,Property,BuildingFeatures,RecreationFacilities,,BuildingFeatures,RecreationFacilities,"The property includes use of, or access to, a recreation room.",Yes,Yes,
,Property,BuildingFeatures,RecreationRoom,,BuildingFeatures,RecreationRoom,"The property includes use of, or access to, recreation facilities.",Yes,Yes,
,Property,BuildingFeatures,Restaurant,,BuildingFeatures,Restaurant,The property has a restaurant.,Yes,Yes,
,Property,BuildingFeatures,Sauna,,BuildingFeatures,Sauna,"The property includes use of, or access to, a sauna.",Yes,Yes,
,Property,BuildingFeatures,ScreeningRoom,,BuildingFeatures,ScreeningRoom,The property includes access to a screening room.,Yes,Yes,
,Property,BuildingFeatures,ServiceElevators,,BuildingFeatures,ServiceElevators,"The property includes use of, or access to, a service elevator(s).",Yes,Yes,
,Property,BuildingFeatures,ShuffleboardCourt,,BuildingFeatures,ShuffleboardCourt,"The property includes use of, or access to, a shuffleboard court.",Yes,Yes,
,Property,BuildingFeatures,SpaHotTub,,BuildingFeatures,SpaHotTub,"The property includes use of, or access to, a spa and/or hot tub.",Yes,Yes,
,Property,BuildingFeatures,SportCourt,,BuildingFeatures,SportCourt,"The property includes use of, or access to, a sport court.",Yes,Yes,
,Property,BuildingFeatures,SteamRoom,,BuildingFeatures,SteamRoom,"The property includes use of, or access to, a steam room.",Yes,Yes,
,Property,BuildingFeatures,Storage,,BuildingFeatures,Storage,The property includes storage space.,Yes,Yes,
,Property,BuildingFeatures,TennisCourts,,BuildingFeatures,TennisCourts,"The property includes use of, or access to, a tennis court(s).",Yes,Yes,
,Property,BuildingFeatures,WorkshopArea,,BuildingFeatures,WorkshopArea,"The property includes use of, or access to, a workshop area.",Yes,Yes,
,Property,BuildingFeatures,YogaStudio,,BuildingFeatures,YogaStudio,"The property includes use of, or access to, a yoga studio.",Yes,Yes,
,Property,BuildingFencing,BackYard,,BuildingFencing,BackYard,The backyard is fenced.,Yes,Yes,
,Property,BuildingFencing,BarbedWire,,BuildingFencing,BarbedWire,The fencing has barbed wire.,Yes,Yes,
,Property,BuildingFencing,Block,,BuildingFencing,Block,The property has one or more block walls.,Yes,Yes,
,Property,BuildingFencing,Brick,,BuildingFencing,Brick,The property has one or more brick walls.,Yes,Yes,
,Property,BuildingFencing,ChainLink,,BuildingFencing,ChainLink,The property has chain-link fencing.,Yes,Yes,
,Property,BuildingFencing,CrossFenced,,BuildingFencing,CrossFenced,The property is cross fenced.,Yes,Yes,
,Property,BuildingFencing,Electric,,BuildingFencing,Electric,The property has electric fencing.,Yes,Yes,
,Property,BuildingFencing,Fenced,,BuildingFencing,Fenced,The property is fenced.,Yes,Yes,
,Property,BuildingFencing,FrontYard,,BuildingFencing,FrontYard,The front yard is fenced.,Yes,Yes,
,Property,BuildingFencing,Full,,BuildingFencing,Full,The full property is fenced.,Yes,Yes,
,Property,BuildingFencing,Gate,,BuildingFencing,Gate,The fencing has one or more gates.,Yes,Yes,
,Property,BuildingFencing,Invisible,,BuildingFencing,Invisible,The property has invisible fencing.,Yes,Yes,
,Property,BuildingFencing,Masonry,,BuildingFencing,Masonry,The property has one or more masonry walls.,Yes,Yes,
,Property,BuildingFencing,None,,BuildingFencing,None,The property has no fencing.,Yes,Yes,
,Property,BuildingFencing,Other,,BuildingFencing,Other,The property has a type of fencing that is not included on this list.,Yes,Yes,
,Property,BuildingFencing,Partial,,BuildingFencing,Partial,The property is partially fenced.,Yes,Yes,
,Property,BuildingFencing,PartialCross,,BuildingFencing,PartialCross,The property has partial cross fencing.,Yes,Yes,
,Property,BuildingFencing,Perimeter,,BuildingFencing,Perimeter,The property has a perimeter fence.,Yes,Yes,
,Property,BuildingFencing,Pipe,,BuildingFencing,Pipe,The property has pipe fencing.,Yes,Yes,
,Property,BuildingFencing,Privacy,,BuildingFencing,Privacy,The property has privacy fencing.,Yes,Yes,
,Property,BuildingFencing,Security,,BuildingFencing,Security,The property has security fencing.,Yes,Yes,
,Property,BuildingFencing,SeeRemarks,,BuildingFencing,SeeRemarks,See the public or private remarks for details on the fencing.,Yes,Yes,
,Property,BuildingFencing,SlumpStone,,BuildingFencing,SlumpStone,The property has one or more slump stone walls.,Yes,Yes,
,Property,BuildingFencing,SplitRail,,BuildingFencing,SplitRail,The property has split rail fencing.,Yes,Yes,
,Property,BuildingFencing,Stone,,BuildingFencing,Stone,The property has one or more stone walls.,Yes,Yes,
,Property,BuildingFencing,Vinyl,,BuildingFencing,Vinyl,The property has vinyl fencing.,Yes,Yes,
,Property,BuildingFencing,Wire,,BuildingFencing,Wire,The property has wire fencing.,Yes,Yes,
,Property,BuildingFencing,Wood,,BuildingFencing,Wood,The property has wooden fencing.,Yes,Yes,
,Property,BuildingFencing,WroughtIron,,BuildingFencing,WroughtIron,The property has wrought iron fencing.,Yes,Yes,
,Property,BuildingHeating,BuildingCitySteam,,BuildingHeating,BuildingCitySteam,Building heating type is city steam.,Yes,Yes,
,Property,BuildingHeating,BuildingElectric,,BuildingHeating,BuildingElectric,Building heating type is electric.,Yes,Yes,
,Property,BuildingHeating,BuildingGeothermal,,BuildingHeating,BuildingGeothermal,Building heating type is geothermal.,Yes,Yes,
,Property,BuildingHeating,BuildingNaturalGas,,BuildingHeating,BuildingNaturalGas,Building heating type is natural gas.,Yes,Yes,
,Property,BuildingHeating,BuildingOil,,BuildingHeating,BuildingOil,Building heating type is oil.,Yes,Yes,
,Property,BuildingHeating,BuildingSolar,,BuildingHeating,BuildingSolar,Building heating type is solar.,Yes,Yes,
,Property,BuildingHeating,BuildingSteam,,BuildingHeating,BuildingSteam,Building heating type is city steam.,Yes,Yes,
,Property,BuildingHeating,Ductless,,BuildingHeating,Ductless,The heating system does not have ducting like that found in central forced air systems.,Yes,Yes,
,Property,BuildingHeating,EnergyStarAccaRsiQualifiedInstallation,,BuildingHeating,EnergyStarAccaRsiQualifiedInstallation,The heating system is ENERGY STAR Qualified. Specific performance information must be determined by review of the actual unit.,Yes,Yes,
,Property,BuildingHeating,EnergyStarQualifiedEquipment,,BuildingHeating,EnergyStarQualifiedEquipment,The heating system installation was done by an ENERGY STAR or ACCA RSI qualified contractor.,Yes,Yes,
,Property,BuildingHeating,ExhaustFan,,BuildingHeating,ExhaustFan,The property has an exhaust fan.,Yes,Yes,
,Property,BuildingHeating,FireplaceInsert,,BuildingHeating,FireplaceInsert,The property has a fireplace insert for generating heat.,Yes,Yes,
,Property,BuildingHeating,Fireplaces,,BuildingHeating,Fireplaces,The property has one or more fireplaces used to generate heat.,Yes,Yes,
,Property,BuildingHeating,FloorFurnace,,BuildingHeating,FloorFurnace,A radiant heating system that is mounted into the floor and distributes the heat via convection.,Yes,Yes,
,Property,BuildingHeating,ForcedAir,,BuildingHeating,ForcedAir,"The property has a forced air system, typically via ducting throughout the structure.",Yes,Yes,
,Property,BuildingHeating,Gravity,,BuildingHeating,Gravity,"A gravity heating system, also known as an octopus furnace, is typically a ducted system that doesn't use a fan, but rather is designed to allow the heat to rise naturally thought the ducts to the different areas of the structure.",Yes,Yes,
,Property,BuildingHeating,HeatPump,,BuildingHeating,HeatPump,"A system that exchanges heat between a warm and cool space. The heat exchange is done between the dwelling and another air space, like outdoors; or a water source; or below ground (geothermal).",Yes,Yes,
,Property,BuildingHeating,HotWater,,BuildingHeating,HotWater,The heating system uses a boiler and pipes to deliver hot water to radiators throughout the dwelling.,Yes,Yes,
,Property,BuildingHeating,HumidityControl,,BuildingHeating,HumidityControl,The heating system has humidity control.,Yes,Yes,
,Property,BuildingHeating,Kerosene,,BuildingHeating,Kerosene,The heating system uses kerosene as its fuel to generate heat.,Yes,Yes,
,Property,BuildingHeating,None,,BuildingHeating,None,The property does not have a heating system.,Yes,Yes,
,Property,BuildingHeating,Other,,BuildingHeating,Other,The property has a heating system or features that are not included in this list.,Yes,Yes,
,Property,BuildingHeating,PassiveSolar,,BuildingHeating,PassiveSolar,"Passive solar is a building design where the walls, windows, floors, etc., are made to collect heat and warm the dwelling.",Yes,Yes,
,Property,BuildingHeating,PelletStove,,BuildingHeating,PelletStove,The property has a stove that burns compressed wood or biomass pellets to generate heat.,Yes,Yes,
,Property,BuildingHeating,Propane,,BuildingHeating,Propane,The heating system uses propane as its fuel to generate heat.,Yes,Yes,
,Property,BuildingHeating,PropaneStove,,BuildingHeating,PropaneStove,The property has a stove that burns propane to generate heat.,Yes,Yes,
,Property,BuildingHeating,Radiant,,BuildingHeating,Radiant,The heating system uses radiators to release heat within the dwelling. The heat is typically delivered to the radiator(s) by water/steam or electricity.,Yes,Yes,
,Property,BuildingHeating,RadiantCeiling,,BuildingHeating,RadiantCeiling,The radiant heating element(s) are located in the ceiling.,Yes,Yes,
,Property,BuildingHeating,RadiantFloor,,BuildingHeating,RadiantFloor,The radiant heating element(s) are located in the floor.,Yes,Yes,
,Property,BuildingHeating,SeeRemarks,,BuildingHeating,SeeRemarks,See the remarks fields for additional information about the heating system included with the property.,Yes,Yes,
,Property,BuildingHeating,SeparateMeters,,BuildingHeating,SeparateMeters,The heating system has multiple units and/or is zoned with separate meters for each zone/unit.,Yes,Yes,
,Property,BuildingHeating,SpaceHeater,,BuildingHeating,SpaceHeater,The property comes with a stand-alone space heater.,Yes,Yes,
,Property,BuildingHeating,VariesByUnit,,BuildingHeating,VariesByUnit,The type of heating or heating features vary from unit to unit.,Yes,Yes,
,Property,BuildingHeating,WallFurnace,,BuildingHeating,WallFurnace,Typically a ductless system that is built into a wall to deliver to the room in which it's installed.,Yes,Yes,
,Property,BuildingHeating,Wood,,BuildingHeating,Wood,The heating system uses wood as its fuel to generate heat.,Yes,Yes,
,Property,BuildingHeating,WoodStove,,BuildingHeating,WoodStove,The property has a stove that burns wood to generate heat.,Yes,Yes,
,Property,BuildingHeating,Zoned,,BuildingHeating,Zoned,The heating system is zoned allowing for independent control of two or more parts of the structure.,Yes,Yes,
,Property,BuildingLaundryFeatures,CoinOperated,,BuildingLaundryFeatures,CoinOperated,"The building includes use of, or access to, a coin laundry.",Yes,Yes,
